ngram,count,rate_per_10000
long ago,56,7.4754378470739
bag end,55,7.3419478855190095
far away,46,6.140538231524989
mr frodo,43,5.740068346860316
asked frodo,42,5.606578385305426
don't know,42,5.606578385305426
minas tirith,36,4.805638615976078
black riders,32,4.271678769756514
mr butterbur,29,3.871208885091841
frodo felt,28,3.73771892353695
frodo looked,26,3.4707390004271677
cried frodo,25,3.337249038872277
great river,25,3.337249038872277
tom bombadil,24,3.203759077317386
frodo sam,23,3.0702691157624944
answered gandalf,21,2.803289192652713
merry pippin,21,2.803289192652713
misty mountains,21,2.803289192652713
dark lord,20,2.6697992310978216
frodo saw,19,2.5363092695429303
