pattern,count
ADJ+NOUN,13257
NOUN+VERB,10732
VERB+NOUN,5961
NOUN+NOUN,4289
VERB+ADV,2946
VERB+ADJ,1911
PROPN+VERB,1730
VERB+VERB,1693
NOUN+ADV,1673
ADV+VERB,1387
PROPN+PROPN,1380
VERB+PROPN,1287
ADJ+ADJ,1147
NOUN+ADJ,1086
NOUN+PROPN,812
ADJ+VERB,728
AUX+VERB,629
ADV+ADV,596
VERB+ADP,548
PROPN+NOUN,525
