pattern,count
ADJ+NOUN,3614
NOUN+VERB,3144
VERB+NOUN,1692
NOUN+NOUN,1166
VERB+ADV,785
PROPN+VERB,690
PROPN+PROPN,571
VERB+ADJ,515
VERB+VERB,455
VERB+PROPN,409
NOUN+ADV,386
ADV+VERB,334
AUX+VERB,328
NOUN+ADJ,302
NOUN+PROPN,286
PART+NOUN,277
ADJ+ADJ,255
NOUN+PART,217
PROPN+NOUN,204
ADJ+VERB,184
