ngram,count,rate_per_10000
mr frodo,78,14.339026049230656
minas tirith,49,9.007849697593617
far away,42,7.721014026508815
frodo sam,32,5.882677353530526
sam frodo,30,5.515010018934868
bag end,27,4.963509017041381
paths dead,24,4.412008015147895
dol amroth,21,3.8605070132544075
lady éowyn,21,3.8605070132544075
long ago,20,3.6766733459565786
legolas gimli,19,3.4928396786587492
houses healing,18,3.3090060113609203
merry pippin,18,3.3090060113609203
don't know,17,3.1251723440630914
wild men,17,3.1251723440630914
drew near,16,2.941338676765263
lord city,16,2.941338676765263
black gate,15,2.757505009467434
old man,15,2.757505009467434
captains west,14,2.573671342169605
